Time,Channel A,D0,D1,D2,D3,D4,D5,D6,D7,RW,PHI
(us),(mV),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary)

0.00000000,-1.26353300,0,1,0,0,0,0,0,0,1,0
0.01600000,-1.26353300,0,1,0,0,0,0,0,0,1,0
0.03200000,-1.26353300,0,1,0,0,0,0,0,0,1,0
0.04800000,-1.10543800,0,1,0,0,0,0,0,0,1,0
0.06400000,-1.10543800,0,1,0,0,0,0,0,0,1,0
0.08000000,-1.26353300,0,1,0,0,0,0,0,0,1,0
0.09600000,-1.10543800,0,1,0,0,0,0,0,0,1,0
0.11200000,-1.10543800,0,1,0,0,0,0,0,0,1,0
0.12800000,-1.42162900,0,1,0,0,0,0,0,0,1,0
0.14400000,-1.10543800,0,1,0,0,0,0,0,0,1,0
0.16000000,-1.10543800,0,1,0,0,0,0,0,0,1,1
0.17600000,-0.94734250,0,1,0,0,0,0,0,0,1,1
0.19199999,-1.10543800,0,1,0,0,0,0,0,0,1,1
0.20799999,-1.10543800,0,1,0,0,0,0,0,0,1,1
0.22399999,-1.10543800,0,1,0,0,0,0,0,0,1,1
0.23999999,-1.42162900,0,0,0,0,0,1,0,0,1,1
0.25599999,-1.26353300,0,0,0,0,0,1,0,0,1,1
0.27199999,-1.10543800,0,0,0,0,0,1,0,0,1,1
0.28799999,-1.10543800,0,0,0,0,0,1,0,0,1,1
0.30399999,-1.26353300,0,0,0,0,0,1,0,0,1,1
0.31999999,-1.10543800,0,0,0,0,0,1,0,0,1,1
0.33599999,-1.10543800,0,0,0,0,0,1,0,0,1,1
0.35199999,-1.26353300,0,0,0,0,0,1,0,0,1,1
0.36799999,-1.42162900,0,0,0,0,0,1,0,0,1,1
0.38399999,-1.26353300,0,0,0,0,0,1,0,0,1,1
0.39999999,-0.94734250,0,1,0,0,0,1,1,1,1,1
0.41599999,-1.10543800,0,1,0,0,0,1,1,1,1,0
0.43199999,-1.10543800,0,1,0,0,0,1,1,1,1,0
0.44799999,-0.94734250,0,1,0,0,0,1,1,1,1,0
