Time,Channel A,D0,D1,D2,D3,D4,D5,D6,D7,RW,PHI
(us),(mV),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary)

0.00000000,-0.94734250,1,0,1,1,1,1,0,1,1,1
0.01600000,-0.78986220,1,0,1,1,1,1,0,1,1,1
0.03200000,-0.78986220,1,0,1,1,1,1,0,1,1,1
0.04800000,-0.94734250,1,0,1,1,1,1,0,1,1,1
0.06400000,-0.78986220,1,0,1,1,1,1,0,1,1,1
0.08000000,-0.78986220,1,0,1,1,1,1,0,1,1,1
0.09600000,-0.94734250,1,0,1,1,1,1,0,1,1,1
0.11200000,-0.63176670,1,0,1,1,1,1,0,1,1,1
0.12800000,-0.94734250,1,0,1,1,1,1,0,1,1,0
0.14400000,-1.10543800,1,0,1,1,1,1,0,1,1,0
0.16000000,-0.78986220,1,0,1,1,1,1,0,1,1,0
0.17600000,-0.78986220,1,0,1,1,1,1,0,1,1,0
0.19199999,-0.94734250,1,0,1,1,1,1,0,1,1,0
0.20799999,-0.94734250,1,0,1,1,1,1,0,1,1,0
0.22399999,-0.94734250,1,0,1,1,1,1,0,1,1,0
0.23999999,-0.94734250,1,0,1,1,1,1,0,1,1,0
0.25599999,-1.10543800,1,0,1,1,1,1,0,1,1,0
0.27199999,-0.94734250,1,0,1,1,1,1,0,1,1,0
0.28799999,-0.78986220,1,0,1,1,1,1,0,1,1,0
0.30399999,-0.94734250,1,0,1,1,1,1,0,1,1,0
0.31999999,-1.10543800,1,0,1,1,1,1,0,1,1,0
0.33599999,-0.94734250,1,0,1,1,1,1,0,1,1,0
0.35199999,-0.94734250,1,0,1,1,1,1,0,1,1,0
0.36799999,-0.94734250,1,0,1,1,1,1,0,1,1,1
0.38399999,-1.10543800,1,0,1,1,1,1,0,1,1,1
0.39999999,-0.94734250,1,0,1,1,1,1,0,1,1,1
0.41599999,-1.10543800,1,0,1,1,1,1,0,1,1,1
0.43199999,-0.94734250,1,0,1,1,1,1,0,1,1,1
0.44799999,-1.10543800,1,0,1,1,1,1,0,1,1,1
