Time,Channel A,D0,D1,D2,D3,D4,D5,D6,D7,RW,PHI
(us),(mV),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary)

1.51999996,0.00000000,0,0,0,0,0,0,0,0,1,1
1.53599996,0.31557580,0,0,0,0,0,0,0,0,1,1
1.55199996,-0.15748030,0,0,0,0,0,0,0,0,1,1
1.56799996,-0.47367130,0,0,0,0,0,0,0,0,1,1
1.58399996,-0.15748030,0,0,0,0,1,1,1,1,1,1
1.59999995,0.00000000,0,0,0,0,1,1,1,1,1,1
1.61599995,0.00000000,0,0,0,0,1,1,1,1,1,1
1.63199995,0.00000000,0,0,0,0,1,1,1,1,1,1
1.64799995,0.00000000,0,0,0,0,1,1,1,1,1,1
1.66399995,0.15748030,0,0,0,0,1,1,1,1,1,1
1.67999995,0.15748030,0,0,0,0,1,1,1,1,1,1
1.69599995,0.15748030,0,0,0,0,1,1,1,1,1,1
1.71199995,0.00000000,0,0,0,0,1,1,1,1,1,1
1.72799995,-0.31557580,0,0,0,0,1,1,1,1,1,1
1.74399995,0.15748030,0,0,0,0,1,1,1,1,1,1
1.75999995,0.15748030,0,0,0,0,1,1,1,1,1,0
1.77599995,-0.15748030,0,0,0,0,1,1,1,1,1,0
1.79199995,0.00000000,0,0,0,0,1,1,1,1,1,0
1.80799995,0.00000000,0,0,0,0,1,1,1,1,1,0
1.82399995,0.00000000,0,0,0,0,1,1,1,1,1,0
1.83999995,0.15748030,0,0,0,0,1,1,1,1,1,0
1.85599995,-0.15748030,0,0,0,0,1,1,1,1,1,0
1.87199995,0.00000000,0,0,0,0,1,1,1,1,1,0
1.88799995,0.15748030,0,0,0,0,1,1,1,1,1,0
1.90399995,-0.15748030,0,0,0,0,1,1,1,1,1,0
1.91999995,-0.15748030,0,0,0,0,1,1,1,1,1,0
1.93599995,0.00000000,0,0,0,0,1,1,1,1,1,0
1.95199994,0.00000000,0,0,0,0,1,1,1,1,1,0
1.96799994,-0.15748030,0,0,0,0,1,1,1,1,1,0
1.98399994,0.00000000,0,0,0,0,1,1,1,1,1,0
1.99999994,0.00000000,0,0,0,0,1,1,1,1,1,1
2.01599994,0.00000000,0,0,0,0,1,1,1,1,1,1
2.03199994,0.00000000,0,0,0,0,1,1,1,1,1,1
2.04799994,0.00000000,0,0,0,0,1,1,1,1,1,1
2.06399994,0.00000000,0,0,0,0,1,1,1,1,1,1
2.07999994,0.00000000,0,0,0,0,1,1,0,1,1,1
2.09599994,0.15748030,1,1,0,0,1,1,0,1,1,1
2.11199994,0.00000000,1,1,0,0,1,1,0,1,1,1
2.12799994,0.00000000,1,1,0,0,1,1,0,1,1,1
2.14399994,0.00000000,1,1,0,0,1,1,0,1,1,1
2.15999994,0.00000000,1,1,0,0,1,1,0,1,1,1
2.17599994,0.00000000,1,1,0,0,1,1,0,1,1,1
2.19199994,0.00000000,1,1,0,0,1,1,0,1,1,1
2.20799994,0.00000000,1,1,0,0,1,1,0,1,1,1
2.22399994,0.00000000,1,1,0,0,1,1,0,1,1,1
